"obs1" "obs2" "dist" "transect"
0 1 0.452472739666667 1
1 0 0.395306333333333 1
0 1 0.528586374666667 1
0 1 0.315077513633333 1
1 0 0.261373666666667 1
1 1 0.461946354 1
1 0 0.285814333333333 2
1 0 0.395306333333333 3
1 0 0.635015666666667 3
0 1 0.0536504493666667 3
1 0 0.315077666666667 3
1 1 0.635015666666667 3
1 0 0.635015666666667 4
1 0 0.395306333333333 4
0 1 0.1375075753 4
1 0 0.0555566666666667 4
0 1 0.0617019292666667 4
1 0 0.350771 5
1 0 0.0466176666666667 5
1 0 0.635015666666667 5
0 1 0.452472739666667 7
1 0 0.104487 8
0 1 0.0962269693666667 8
1 0 0.0466176666666667 8
0 1 0.0662098571 8
0 1 0.395306224 8
1 1 0.100356984683333 8
1 1 0.0564137618833333 8
1 0 0.635015666666667 9
0 1 0.315077513633333 9
1 0 0.794497333333333 9
1 0 0.350771 9
0 1 0.2073403027 9
1 0 0.395306333333333 10
1 0 0.794497333333333 10
0 1 0.0466175785 10
1 0 0.096227 13
1 0 0.794497333333333 15
1 0 0.222825666666667 16
0 1 0.2073403027 16
1 0 0.528586333333333 16
1 1 0.215082984683333 16
1 0 0.794497333333333 17
0 1 0.240642361333333 18
1 0 0.261373666666667 18
1 1 0.251008014 18
1 0 0.207340333333333 19
0 1 0.635015605666667 20
1 0 0.06621 20
0 1 0.0595772309666667 20
1 1 0.0628936154833333 20
1 0 0.794497333333333 21
0 1 0.315077513633333 21
1 0 0.100227 23
0 1 0.0962269693666667 23
0 1 0.635015605666667 23
1 0 0.452472666666667 23
1 1 0.0982269846833333 23
1 1 0.543744136166667 23
1 0 0.207340333333333 25
0 1 0.315077513633333 25
1 0 0.452472666666667 27
1 1 0.423889445333333 27
0 1 0.395306224 27
0 1 0.635015605666667 29
1 0 0.009796 30
1 0 0.794497333333333 32
1 1 0.661541854 32
0 1 0.528586374666667 32
0 1 0.528586374666667 32
0 1 0.2858142726 38
1 0 0.261373666666667 44
0 1 0.2073403027 44
0 1 0.635015605666667 44
1 1 0.234356984683333 44
0 1 0.152640687166667 46
1 0 0.152640666666667 46
1 0 0.020221 46
1 0 0.0224463333333333 46
1 1 0.152640676916667 46
0 1 0.2858142726 47
1 1 0.2858142726 47
1 1 0.2858142726 47
0 1 0.635015605666667 48
1 0 0.009796 48
1 0 0.794497333333333 48
1 0 0.794497333333333 48
0 1 0.0555566666666667 48
1 0 0.0711093333333333 48
1 0 0.794497333333333 48
1 0 0.635015666666667 48
1 0 0.635015666666667 48
1 1 0.063333 48
1 0 0.096227 49
